Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),22:15,05h 30m,03:45,3.3,450,11 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,NON A/C Seater (2+2),23:40,04h 20m,04:00,1.8,INR 500,35 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Himalayan Travels,NON A/C Seater (2+2),20:30,06h 00m,02:30,1.8,INR 500,35 Seats available
Jorhat to North Lakhimpur,https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur,Priyanka,NON A/C Seater (2+1),19:00,10h 30m,05:30,2.7,INR 600,12 Seats available
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),20:15,07h 15m,03:30,2.3,INR 350,40 Seats available
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Trishul Transport Service,A/C Seater / Sleeper (2+1),19:15,03h 40m,22:55,4.2,509,1 Seat available
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Purple Wings Coaches,A/C Seater / Sleeper (2+1),19:55,04h 20m,00:15,3.7,540,5 Seats available
Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Puja Transport,NON AC Seater / Sleeper 2+1,20:00,08h 30m,04:30,3.6,INR 550,1 Seat available
North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,DESTINY TRAVELS,NON A/C Seater (2+1),20:20,27h 25m,23:45,1.9,428,1 Seat available
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,PARIJAT TRAVELS(UNDER ASTC),NON A/C Seater (2+1),19:35,06h 25m,02:00,3.8,375,3 Seats available
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Laxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:45,04h 05m,23:50,4.8,630,2 Seats available
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,NORTH EAST TRAVELS(UNDER ASTC),NON A/C Seater (2+1),20:15,06h 15m,02:30,2.5,450,6 Seats available
North Lakhimpur to Dibrugarh,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,Air Bus Travels,NON AC Seater / Sleeper 2+1,21:00,06h 00m,03:00,3.8,INR 400,6 Seats available
Tinsukia to Jorhat,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,NETWORK TRAVELS,NON A/C Seater Push Back (2+1),19:00,05h 30m,00:30,4.5,300,27 Seats available
Guwahati to Gohpur,https://www.redbus.in/bus-tickets/guwahati-to-gohpur,PARIJAT TRAVELS(UNDER ASTC),NON A/C Seater (2+1),19:35,08h 25m,04:00,3.9,375,3 Seats available
Guwahati to Gohpur,https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Laxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:45,06h 45m,02:30,1.3,630,1 Seat available
Guwahati to Gohpur,https://www.redbus.in/bus-tickets/guwahati-to-gohpur,GURUNANAK TRAVELS,NON A/C Seater (2+1),19:00,08h 00m,03:00,3.4,INR 500,8 Seats available
Guwahati to Gohpur,https://www.redbus.in/bus-tickets/guwahati-to-gohpur,NORTH EAST TRAVELS(UNDER ASTC),NON A/C Seater (2+1),20:15,07h 45m,04:00,0,450,10 Seats available
Guwahati to Kaliabor,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor,TRINAYAN TRANSPORT (Under ASTC),A/C Seater (2+1),20:15,05h 00m,01:15,3.8,405,35 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),19:45,08h 15m,04:00,3.1,INR 550,3 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),19:50,08h 40m,04:30,3.2,INR 470,24 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Puja Transport,NON AC Seater / Sleeper 2+1,20:00,09h 00m,05:00,3.5,INR 550,7 Seats available
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Puja Transport,Non AC Seater (2+2),19:15,08h 45m,04:00,2.6,INR 550,10 Seats available
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,06h 15m,03:45,3.8,450,10 Seats available
Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,DONYI POLO EXPRESS,Non AC Seater (2+1),23:45,06h 15m,06:00,0,400,7 Seats available
Dibrugarh to North Lakhimpur,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur,Air Bus Travels,NON AC Seater / Sleeper 2+1,21:15,04h 45m,02:00,3.7,INR 400,13 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Yatra Travels,NON AC Seater/ Sleeper (2+1),23:00,07h 00m,06:00,4.7,450,13 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),23:05,06h 55m,06:00,4.6,INR 620,24 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,KIRAN TRAVELS,A/C Seater (2+1),22:50,08h 40m,07:30,4.3,500,10 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Yatra Travels,NON AC Seater/ Sleeper (2+1),22:45,07h 30m,06:15,4.6,450,9 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Laxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:45,07h 15m,06:00,3.8,500,10 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,DONYI POLO EXPRESS,Non AC Seater (2+1),22:30,07h 30m,06:00,3.3,400,9 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Deep Travels,NON AC Seater / Sleeper 2+1,22:20,06h 40m,05:00,3.1,INR 499,22 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),22:45,07h 30m,06:15,2.6,INR 650,18 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Drishti Travels,NON A/C Seater (2+1),21:00,08h 30m,05:30,3.8,432,5 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,NORTH EAST TRAVELS(UNDER ASTC),NON A/C Seater (2+1),20:00,10h 00m,06:00,3.2,450,23 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:15,07h 30m,03:45,3.1,450,12 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Yatra Travels,NON A/C Seater (2+1),22:35,07h 40m,06:15,0,450,7 Seats available
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,GURUNANAK TRAVELS,NON A/C Seater (2+1),21:00,08h 00m,05:00,0,INR 500,19 Seats available
North Lakhimpur to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,KIRAN TRAVELS,A/C Seater (2+1),21:20,10h 10m,07:30,4.3,600,10 Seats available
North Lakhimpur to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),21:00,09h 15m,06:15,3.9,INR 750,16 Seats available
North Lakhimpur to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),21:15,08h 45m,06:00,3.8,INR 700,24 Seats available
North Lakhimpur to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,AdYatra Travels,NON AC Seater/ Sleeper (2+1),20:30,09h 30m,06:00,3.8,550,13 Seats available
North Lakhimpur to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,Deep Travels,NON AC Seater / Sleeper 2+1,19:30,09h 30m,05:00,3.9,INR 549,22 Seats available
North Lakhimpur to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,Laxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:40,09h 20m,06:00,4.3,600,6 Seats available
North Lakhimpur to Guwahati,https://www.redbus.in/bus-tickets/north-lakhimpur-to-guwahati,Yatra Travels,NON A/C Seater (2+1),20:40,09h 35m,06:15,4.0,550,7 Seats available
